FBgn0039488
FBgn0041721
FBgn0040235
FBgn0035162
FBgn0014189
FBgn0037220
FBgn0017457
FBgn0266917
FBgn0037466
FBgn0285954
FBgn0003449
FBgn0266599
FBgn0024542
FBgn0034598
FBgn0031883
FBgn0036018
FBgn0260944
FBgn0035294
FBgn0034084
FBgn0261119
FBgn0035692
FBgn0034000
FBgn0262601
FBgn0031493
FBgn0031492
FBgn0028577
FBgn0029941
FBgn0023167
FBgn0010774
FBgn0033556
FBgn0034402
FBgn0030969
FBgn0024491
FBgn0033160
FBgn0040534
FBgn0036277
FBgn0024887
FBgn0022224
FBgn0002736
FBgn0021895
FBgn0022986
FBgn0050342
FBgn0025571
FBgn0015818
FBgn0031266
FBgn0003261
FBgn0029133
FBgn0036314
FBgn0033688
FBgn0031822
FBgn0015520
FBgn0039558
FBgn0261933
FBgn0024998
FBgn0039270
FBgn0027587
FBgn0265298
FBgn0030468
FBgn0004401
FBgn0265297
FBgn0263396
FBgn0265574
FBgn0001491
FBgn0028554
FBgn0036207
FBgn0032248
FBgn0016978
FBgn0033615
FBgn0033062
FBgn0261789
FBgn0037660
FBgn0039566
FBgn0035520
FBgn0027617
FBgn0004856
FBgn0000377
FBgn0001986
FBgn0027616
FBgn0050122
FBgn0030479
FBgn0031601
FBgn0036734
FBgn0030915
FBgn0037707
FBgn0022959
FBgn0086683
FBgn0035253
FBgn0037550
FBgn0036340
FBgn0035254
FBgn0000426
FBgn0261792
FBgn0000146
FBgn0004227
FBgn0028897
FBgn0004587
FBgn0261791
FBgn0261790
FBgn0030365
FBgn0031452
FBgn0032388
FBgn0039977
FBgn0038927
FBgn0011305
FBgn0032822
FBgn0035141
FBgn0014366
FBgn0038772
FBgn0086895
FBgn0005649
FBgn0283477
FBgn0005648
FBgn0039581
FBgn0022942
FBgn0022943
FBgn0003741
FBgn0024285
FBgn0030655
FBgn0039626
FBgn0013435
FBgn0036915
FBgn0031229
FBgn0037573
FBgn0011640
FBgn0043455
FBgn0038666
FBgn0028919
FBgn0035675
FBgn0036641
FBgn0036487
FBgn0051184
FBgn0086707
FBgn0027548
FBgn0035271
FBgn0035838
FBgn0263198
FBgn0005411
FBgn0031114
FBgn0002780
FBgn0028474
FBgn0027784
FBgn0038704
FBgn0033378
FBgn0037737
FBgn0034109
