	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0081624"	0.00	15.38	19.38	43.78	34.15	41.82	43.95	20.64	25.63	24.67	34.30	24.90	24.19	50.40	15.28
"FBtr0071763"	1.31	1.91	2.22	1.00	1.57	1.40	0.22	0.68	0.89	0.70	0.63	1.05	1.64	1.85	2.83
"FBtr0071764"	0.09	0.26	0.30	0.13	0.18	0.14	0.08	0.15	0.32	0.00	0.21	0.13	0.15	0.08	0.33
"FBtr0100521"	4.77	5.17	7.96	5.00	6.02	5.32	2.59	0.68	0.98	3.40	2.63	2.46	2.96	5.50	5.46
"FBtr0342981"	0.20	0.67	0.00	0.79	0.36	0.13	0.00	0.13	0.24	0.00	0.00	0.00	0.56	0.00	0.46
"FBtr0083387"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083388"	0.00	0.00	0.02	0.01	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300485"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0306337"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083381"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083382"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083383"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083384"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083385"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330709"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346764"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415463"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415464"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0415465"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0075357"	3.52	6.26	11.10	1.63	0.80	1.12	4.55	7.95	12.93	3.72	2.76	2.90	4.29	5.74	7.01
"FBtr0112790"	0.89	1.33	1.57	0.70	1.26	0.00	0.00	2.10	2.48	0.34	0.33	0.61	0.89	1.67	1.70
"FBtr0330130"	0.00	0.98	0.14	0.28	0.30	0.27	0.01	0.64	0.98	0.00	0.25	0.32	0.00	0.00	0.03
"FBtr0330131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330132"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.57	0.44	0.01
"FBtr0330133"	0.13	0.06	0.52	0.00	0.00	0.00	1.79	0.01	0.42	0.00	0.00	0.00	0.00	0.00	1.30
"FBtr0330134"	0.32	0.95	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
"FBtr0330135"	4.87	6.80	7.69	2.03	2.32	0.84	9.61	6.91	7.94	2.32	1.55	1.80	2.48	2.78	6.87
"FBtr0330136"	0.34	1.30	1.95	0.00	2.43	0.00	11.33	0.73	1.71	0.00	0.00	0.00	0.00	0.22	0.14
"FBtr0345369"	0.01	0.00	0.02	0.21	0.00	0.71	2.27	0.00	0.00	0.61	0.50	0.39	0.06	0.00	0.00
"FBtr0080168"	22.17	22.11	19.93	28.36	27.44	26.90	15.89	15.88	16.65	25.82	21.39	26.19	32.41	30.39	26.10
"FBtr0070072"	0.74	0.61	0.24	0.72	0.79	0.77	1.02	0.48	0.95	1.45	0.63	1.46	3.60	1.00	1.56
"FBtr0082780"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300486"	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0335223"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
"FBtr0074015"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100326"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100328"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290063"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0290064"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305189"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305190"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305191"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305192"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305193"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305194"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305195"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305196"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085609"	152.36	152.89	145.05	160.82	165.72	162.28	143.01	130.22	132.44	162.14	150.15	155.57	156.13	147.73	155.79
"FBtr0085610"	2.13	3.28	3.12	3.66	3.56	2.10	1.38	0.70	3.56	4.46	0.72	4.07	5.57	6.27	2.02
"FBtr0084619"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00
"FBtr0330310"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00
"FBtr0334916"	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072367"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072368"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0073299"	0.00	0.02	0.00	0.05	0.00	0.00	0.06	0.03	0.06	0.05	0.00	0.08	0.17	0.18	0.20
"FBtr0073300"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084639"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084640"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070822"	2.93	46.60	203.62	802.58	822.77	1034.76	113.25	1.09	0.00	0.00	193.40	68.13	6.88	22.59	49.05
"FBtr0070823"	319.26	345.61	380.54	359.23	375.15	401.47	590.47	643.27	594.66	339.63	412.31	348.41	340.40	309.73	353.49
"FBtr0100662"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100663"	1027.30	1071.61	996.31	467.97	418.63	334.61	1776.15	1596.04	1803.27	876.98	746.46	911.58	1044.95	952.02	1138.14
"FBtr0345894"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086029"	201.01	196.01	213.14	231.45	232.32	243.22	336.82	312.46	313.77	198.61	204.25	192.50	218.53	187.22	227.75
"FBtr0071519"	0.18	0.11	0.08	0.34	0.03	0.00	0.04	0.05	0.00	0.00	0.00	0.12	0.12	0.09	0.36
"FBtr0078478"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
"FBtr0334090"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0082785"	0.00	0.00	0.00	0.00	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.05	0.05	0.00
"FBtr0082786"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346242"	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083143"	0.05	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.05	0.04	0.00	0.00	0.00
"FBtr0079219"	0.00	13.10	12.13	16.26	15.87	15.45	4.53	0.00	4.95	5.38	3.41	11.75	9.77	2.65	10.42
"FBtr0079220"	2.88	5.29	4.51	2.47	2.31	3.72	0.87	0.00	0.66	2.56	4.20	0.57	2.80	5.58	5.38
"FBtr0079221"	13.65	1.35	6.93	0.00	0.01	0.00	0.00	3.60	0.01	3.07	3.42	0.00	0.01	7.18	0.00
"FBtr0079431"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100353"	19.22	15.89	18.40	25.22	23.11	24.46	21.91	24.73	21.89	15.45	25.53	24.32	6.53	6.78	4.95
"FBtr0339663"	5.05	6.90	7.96	6.46	7.16	6.10	7.73	5.60	6.53	3.83	4.79	4.60	4.09	4.43	6.37
"FBtr0100589"	210.68	194.79	147.39	247.27	229.90	249.89	24.19	13.61	18.69	353.59	332.04	282.78	442.31	490.81	254.98
"FBtr0100590"	41.66	35.25	29.43	64.74	61.21	79.41	1.50	5.67	3.88	54.71	42.55	43.09	90.88	89.10	99.53
"FBtr0100591"	0.77	0.44	0.22	0.57	0.78	0.01	0.23	0.32	0.31	1.18	1.20	1.42	0.80	1.43	1.04
"FBtr0100593"	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0100594"	2.58	3.07	4.55	5.50	7.35	4.01	0.00	0.45	0.22	4.86	2.61	3.93	5.87	5.40	4.21
"FBtr0006151"	0.77	0.44	0.22	0.57	0.78	0.01	0.23	0.32	0.31	1.18	1.20	1.42	0.80	1.43	1.04
"FBtr0100187"	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343699"	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0086744"	1.02	1.59	0.00	1.53	2.72	2.32	0.00	1.07	2.08	0.00	0.00	3.40	1.95	0.00	0.69
"FBtr0340288"	32.53	35.45	36.89	40.12	36.50	38.69	24.58	18.85	22.74	29.63	32.36	31.06	32.96	36.68	35.23
"FBtr0078053"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083478"	42.87	44.50	39.71	49.24	53.02	51.78	6.47	4.25	7.23	41.03	37.17	44.30	47.42	46.91	48.56
"FBtr0331348"	0.35	0.25	0.00	0.27	0.25	0.65	0.00	0.00	0.00	0.29	0.64	0.27	0.35	0.00	0.43
"FBtr0084994"	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.16
"FBtr0084995"	41.76	70.14	53.33	44.91	37.03	49.67	46.33	74.16	63.66	60.97	59.06	49.71	50.43	60.69	63.05
"FBtr0084999"	0.00	0.00	0.20	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.23	0.00	0.50	0.78	0.19
"FBtr0085000"	0.27	0.22	0.05	0.00	0.00	0.08	0.54	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085001"	2.33	3.15	3.01	3.27	1.88	3.19	3.67	3.89	5.48	2.99	2.64	1.89	2.53	2.86	4.07
"FBtr0114544"	0.34	0.24	0.69	1.94	1.24	0.70	0.76	1.31	1.25	0.49	0.00	0.66	0.00	0.00	0.00
"FBtr0306657"	2.08	0.74	1.79	1.57	1.06	0.65	3.74	2.67	1.60	1.14	0.90	2.49	2.06	0.79	0.28
"FBtr0310660"	0.24	0.46	1.37	0.22	0.34	2.58	1.23	0.00	0.00	0.23	0.48	0.00	1.04	3.00	2.03
"FBtr0310661"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.22	0.55	1.69	3.32
"FBtr0339614"	88.35	102.49	115.22	95.64	103.30	103.05	161.36	152.38	153.28	88.21	99.11	81.01	75.12	73.82	75.52
"FBtr0081618"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081619"	0.00	0.08	0.00	0.47	0.85	3.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081620"	0.00	0.00	0.04	0.00	0.00	1.23	0.15	0.00	0.05	0.09	0.05	0.13	0.05	0.00	0.03
"FBtr0081153"	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.04	0.00	0.00	0.08	0.04	0.06
"FBtr0081154"	0.00	0.00	0.00	0.00	0.03	0.00	0.08	0.00	0.04	0.00	0.12	0.07	0.00	0.00	0.00
"FBtr0071331"	4.95	5.43	7.26	5.18	5.07	6.58	3.67	2.89	2.65	4.65	5.59	5.88	5.96	6.79	6.15
"FBtr0307281"	50.35	50.75	39.97	55.94	57.77	57.69	31.64	28.79	26.28	57.08	52.52	54.27	61.22	59.27	49.73
"FBtr0086983"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087004"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345521"	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
"FBtr0089517"	4.41	2.75	2.21	0.73	3.85	2.77	1.83	2.10	2.38	2.35	6.15	5.39	5.56	6.41	2.46
"FBtr0089518"	33.27	25.64	24.99	38.07	37.72	44.75	31.87	45.02	43.27	34.20	52.92	47.27	44.69	42.25	37.97
"FBtr0089519"	75.82	66.09	63.64	111.60	106.06	104.47	99.36	102.03	88.73	92.69	80.31	63.91	42.31	26.82	42.16
"FBtr0089520"	3.49	2.45	0.83	1.19	1.64	1.22	0.70	1.52	2.93	2.68	1.28	2.68	2.49	2.72	2.82
"FBtr0336797"	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336798"	8.91	6.32	5.92	12.28	4.65	12.13	4.15	13.08	7.05	8.57	6.04	6.54	5.71	4.61	5.90
"FBtr0070025"	37.44	28.66	34.23	38.76	37.00	33.42	3.07	3.71	5.24	39.52	49.02	43.14	54.47	47.64	30.16
"FBtr0301931"	16.31	13.66	10.98	11.94	9.82	16.17	2.52	1.38	0.00	12.28	13.81	14.13	7.51	8.97	7.15
"FBtr0070504"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.06
"FBtr0085611"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.49
"FBtr0346141"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077850"	16.82	25.60	30.98	19.62	24.03	18.68	19.04	12.57	16.52	13.38	10.81	12.43	15.64	18.72	29.77
"FBtr0077851"	2.03	0.00	0.00	0.30	0.29	1.86	0.93	1.40	2.44	1.46	1.91	2.94	2.89	1.15	0.00
"FBtr0330658"	0.39	0.17	0.41	0.16	0.00	0.19	0.00	0.00	0.43	0.34	0.00	0.00	0.19	0.00	0.00
"FBtr0330659"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330660"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0078481"	2061.08	1872.72	1685.89	1477.11	1201.58	1683.78	2387.60	2853.15	2731.75	1782.19	2500.11	2468.30	1724.74	1751.96	1332.88
"FBtr0334113"	13.27	9.87	14.14	8.08	6.70	6.01	15.06	20.52	19.83	10.46	15.12	15.59	7.23	10.77	13.03
"FBtr0070109"	0.00	0.08	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.08
"FBtr0307291"	0.00	0.00	0.07	0.05	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
"FBtr0307292"	0.00	0.00	0.00	0.00	0.01	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307293"	0.08	0.00	0.00	0.05	0.00	0.03	0.00	0.05	0.00	0.06	0.05	0.00	0.11	0.00	0.00
"FBtr0307294"	0.00	0.00	0.00	0.00	0.03	0.00	0.08	0.05	0.12	0.00	0.05	0.01	0.00	0.03	0.00
"FBtr0307295"	0.08	0.16	0.24	0.00	0.00	0.03	0.06	0.05	0.08	0.00	0.05	0.06	0.00	0.11	0.08
"FBtr0089420"	55.43	53.98	45.93	60.87	67.70	60.85	66.66	71.12	67.29	69.68	80.54	67.31	66.49	68.23	61.17
"FBtr0346440"	2.62	0.00	0.00	1.92	1.21	1.48	0.00	1.98	0.00	2.53	0.95	0.00	0.00	0.85	0.56
"FBtr0346441"	1.75	1.39	4.58	1.39	0.30	0.71	1.28	0.43	3.75	1.86	1.13	3.16	2.29	1.68	0.86
"FBtr0080344"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080345"	10.21	7.55	7.75	23.93	9.77	15.09	8.16	0.00	1.32	28.31	44.84	62.22	29.19	26.02	15.99
"FBtr0080347"	0.00	0.04	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04
"FBtr0300567"	233.92	267.44	262.29	320.16	331.50	342.95	11.61	14.00	19.09	211.47	178.77	188.52	246.11	280.27	290.69
"FBtr0331644"	2.11	2.24	3.34	1.70	0.89	1.18	0.94	0.77	1.97	3.22	2.22	1.07	1.92	1.94	2.03
"FBtr0331645"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
"FBtr0331646"	97.22	113.99	115.94	85.63	91.14	81.01	10.64	4.95	7.64	85.82	87.59	77.22	78.78	96.66	79.28
"FBtr0331647"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	0.00	0.00
"FBtr0331648"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331998"	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.05	1.53	0.88
"FBtr0075517"	178.72	156.09	136.62	178.76	178.72	188.76	180.93	232.01	195.02	194.83	224.58	194.68	196.47	187.87	166.36
"FBtr0076543"	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00
"FBtr0076544"	49.80	53.49	50.40	62.68	52.68	65.24	3.42	2.31	3.65	26.91	29.26	27.59	24.61	37.78	39.27
"FBtr0076545"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076546"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0112791"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331550"	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345030"	0.66	5.47	6.79	9.61	9.82	12.47	1.15	0.77	0.37	8.38	9.03	9.07	8.27	7.22	2.79
"FBtr0089988"	1.25	0.77	2.74	1.20	2.36	2.31	1.83	1.97	2.59	1.80	1.59	2.38	1.56	1.05	1.05
"FBtr0089989"	2.51	7.43	6.51	6.57	8.90	6.29	4.21	3.42	5.22	4.99	2.26	1.47	4.57	2.37	5.93
"FBtr0089990"	2.93	1.52	1.58	0.80	0.82	1.34	5.37	4.10	5.06	0.87	2.54	2.30	0.63	0.00	2.30
"FBtr0089991"	135.10	152.67	173.72	136.60	144.21	141.24	248.51	202.35	219.21	126.53	119.30	108.68	109.95	100.73	153.84
"FBtr0089992"	23.32	28.57	32.12	27.11	27.53	27.89	57.54	42.23	43.11	23.65	20.40	20.10	25.80	20.18	28.34
"FBtr0332583"	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.16
"FBtr0087702"	7.84	12.05	14.57	6.21	8.22	5.18	14.56	9.95	13.54	5.30	4.28	5.66	6.87	6.63	11.94
"FBtr0081030"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307350"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0340229"	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.11	0.00
"FBtr0076599"	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.05	0.05	0.00
"FBtr0070075"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084659"	0.77	0.33	0.00	0.28	0.53	1.20	1.41	2.60	0.77	0.65	0.65	1.26	0.68	0.72	0.54
"FBtr0084660"	46.07	48.05	50.02	52.21	51.80	52.09	72.78	67.55	67.22	43.54	45.20	49.04	46.08	44.61	53.12
"FBtr0306171"	3.80	6.10	1.91	0.00	0.00	0.00	0.00	3.92	8.53	4.06	5.36	2.05	8.81	3.87	1.87
"FBtr0084692"	36.69	56.09	68.62	36.69	43.47	34.18	33.82	20.18	31.68	25.90	22.63	24.80	22.93	30.42	49.07
"FBtr0080165"	39.76	38.52	47.06	46.70	49.21	46.98	54.09	45.94	51.54	58.16	37.97	43.95	42.60	32.94	53.14
"FBtr0112793"	1.13	1.89	2.07	1.93	1.27	2.22	1.21	0.74	1.23	1.79	0.78	1.38	4.58	1.69	1.81
"FBtr0082483"	143.29	125.40	127.68	176.92	174.63	179.62	131.42	142.22	128.24	168.84	173.56	174.17	164.64	144.94	158.20
"FBtr0339146"	117.47	93.90	79.84	102.50	83.04	114.87	37.94	67.78	66.39	105.10	124.03	120.59	106.76	97.93	86.10
"FBtr0346150"	6.36	1.89	1.04	2.70	3.25	0.47	1.14	0.56	0.56	2.47	1.92	2.87	2.04	2.21	2.01
"FBtr0346611"	3769.04	3174.78	2959.67	2997.27	2731.57	3489.54	1883.78	2377.01	2305.71	4109.80	5207.22	4154.21	3627.32	3732.60	2192.05
"FBtr0074372"	17.66	17.97	19.09	22.93	21.34	22.22	8.42	7.09	9.12	17.00	20.22	21.68	16.93	15.26	18.13
"FBtr0080542"	0.04	0.00	0.08	0.07	0.08	0.00	0.00	0.00	0.15	0.10	0.00	0.00	0.03	0.00	0.00
"FBtr0309960"	0.00	0.11	0.00	0.00	0.00	0.17	0.07	0.18	0.00	0.00	0.37	0.21	0.00	0.17	0.02
"FBtr0342712"	0.04	0.00	0.08	0.07	0.08	0.00	0.00	0.00	0.15	0.10	0.00	0.00	0.03	0.00	0.00
"FBtr0072378"	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072379"	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300076"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084869"	64.69	66.89	61.79	60.80	61.31	59.96	37.79	40.14	39.95	47.25	53.76	56.34	52.66	59.48	53.58
"FBtr0074388"	8.80	13.11	15.57	4.45	6.35	3.37	15.96	10.58	14.40	5.47	4.32	4.57	5.58	7.92	12.82
"FBtr0111000"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343763"	0.00	0.05	0.12	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343764"	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.01	0.02	0.02	0.04
"FBtr0081664"	30.13	20.87	19.50	33.97	31.92	28.87	1.14	0.93	1.46	29.59	29.71	29.17	23.88	21.56	14.96
"FBtr0081665"	60.96	58.34	78.29	81.43	82.46	68.20	2.56	1.82	1.79	61.57	64.27	63.17	70.33	46.60	70.73
"FBtr0081666"	2.02	1.10	0.95	0.65	1.53	1.46	0.00	0.00	0.00	0.68	1.92	0.00	0.88	0.00	0.00
"FBtr0081667"	3.32	1.05	2.26	4.49	5.11	6.56	0.00	0.33	0.34	2.89	3.41	3.21	4.33	3.22	3.93
"FBtr0081668"	29.53	21.98	24.38	28.89	27.72	31.37	1.45	0.00	0.85	21.73	25.56	27.22	23.06	14.92	25.40
"FBtr0073855"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300566"	533.80	492.06	427.42	595.07	595.43	628.81	688.54	805.84	679.35	623.20	632.86	582.56	569.45	550.19	533.48
