	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0081920"	0.28	0.04	0.00	0.00	0.02	0.94	0.00	0.00	0.00	1.25	0.38	0.00	0.04	0.00	0.00
"FBtr0445733"	0.00	0.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00
"FBtr0445734"	0.00	0.17	0.00	0.18	0.16	0.00	0.00	0.00	0.00	0.23	0.18	0.30	0.62	0.25	0.00
"FBtr0082006"	515.44	400.96	335.19	466.74	435.11	459.08	478.82	602.35	531.37	657.49	703.66	630.43	589.25	570.57	495.53
"FBtr0082735"	16.62	15.86	10.24	16.63	17.93	12.27	23.41	20.81	23.39	16.27	32.83	18.37	18.89	20.30	22.79
"FBtr0335222"	2.59	3.52	3.87	7.87	4.73	5.27	4.03	7.34	5.39	3.70	6.17	6.20	6.62	5.92	4.55
"FBtr0082761"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0309273"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300628"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0347219"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0445667"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083838"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300810"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
"FBtr0344607"	0.00	0.02	0.00	0.00	0.01	0.02	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0083951"	32.69	25.12	20.35	35.96	41.17	37.98	21.81	38.42	23.33	55.45	59.84	48.29	52.67	63.40	32.94
"FBtr0334580"	0.51	0.39	0.00	0.46	0.77	0.00	1.93	1.17	0.52	0.94	0.00	0.41	0.98	0.00	0.00
"FBtr0084180"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
